,,,,,,,,,,,,,,,,,4000,,2,,,,3,4,,,,,,,,,,,,,,,,,,,
P Installed (kWp),Unit Cost (€/kWp),Specific Yield (kWh/kWp),Monthly Consumption (kWh),Annual Consumption (kWh),Equity ,Years,interest rate,Energy Cost (€/MWh),Energy Cost Regulated (€/MWh),Loan Interest,Interest rate project,Loan ,Annual Production (kWh),Annual Degradation,O&M (€/kWp/year),Land Lease (€/year),Development Costs EUNILAB (€),Connection Cost HEDNO (€),insurance €/year,Adm Expenses (€/year),OPEX other (€/year),Annual Expenses escalation ,Bank expenses (€),Contigency (€),Taxes (%),Advance payment of taxes (%),Cost annual decrease (%),Min marginal price (€/MWh),,,,,,,,,,,,,,,
8000,700,1500,975000,11700000,1,10,0.028,70,45,0.03,0.028,0,12000000,0.007,6,0,32000,2000,16000,2000,0,0.03,24000,32000,0.22,0.95,0.05,45,,,,,,,,,,,,,,,
5600000,4480000,,32500,,,,,,,,,,23013.698630136983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery energy capacity (kWh),Unit Cost (€/kWh),synchronization (%),24375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,500,0.7,24125,,,,,physical,0,0 or 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,Years,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,Project IRR,0.1359471315902836,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Sensitivity Analysis Repayment Year (Equity),,,,Sensitivity Analysis Repayment Year (Project),,,,,,Sensitivity Analysis Equity IRR,,,,,Sensitivity Analysis Project IRR,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Energy Cost (€/MWh),,7,,,,7,,,,,,0.1359471315902836,,,,,0.1359471315902836,,,,,,,,,,,,,
,,,,,,,,,,,,,,57,8,,Energy Cost (€/MWh),57,8,,,,Energy Cost (€/MWh),57,0.12235446967416364,,,Energy Cost (€/MWh),57.0,0.12235446967416364,,,,,,,,,,,,,
,,,,,,,,,,,,,,62,7,,,62,7,,,,,62,0.12701333585264196,,,,62.0,0.12701333585264196,,,,,,,,,,,,,
,,,,,,,,,,,,,,64,7,,,64,7,,,,,64,0.12909197751956425,,,,64.0,0.12909197751956425,,,,,,,,,,,,,
,,,,,,,,,,,,,,66,7,,,66,7,,,,,66,0.13129669005945055,,,,66.0,0.13129669005945055,,,,,,,,,,,,,
,,,,,,,,,,,,,,68,7,,,68,7,,,,,68,0.13356047449178998,,,,68.0,0.13356047449178998,,,,,,,,,,,,,
,,,,,,,,,,,,,,70,7,,,70,7,,,,,70,0.1359471315902836,,,,70.0,0.1359471315902836,,,,,,,,,,,,,
,,,,,,,,,,,,,,75,7,,,75,7,,,,,75,0.14216058457146796,,,,75.0,0.14216058457146796,,,,,,,,,,,,,
,,,,,,,,,,,,,,80,6,,,80,6,,,,,80,0.1487507509815793,,,,80.0,0.1487507509815793,,,,,,,,,,,,,
,,,,,,,,,,,,,,85,6,,,85,6,,,,,85,0.15559621295777304,,,,85.0,0.15559621295777304,,,,,,,,,,,,,
,,,,,,,,,,,,,,90,6,,,90,6,,,,,90,0.16262869082541886,,,,90.0,0.16262869082541886,,,,,,,,,,,,,
,,,,,,,,,,,,,,95,6,,,95,6,,,,,95,0.1697973572799576,,,,95.0,0.1697973572799576,,,,,,,,,,,,,
,,,,,,,,,,,,,,100,5,,,100,5,,,,,100,0.177061977915838,,,,100.0,0.177061977915838,,,,,,,,,,,,,
,,,,,,,,,,,,,,110,5,,,110,5,,,,,110,0.19176303948569173,,,,110.0,0.19176303948569173,,,,,,,,,,,,,
,,,,,,,,,,,,,,120,5,,,120,5,,,,,120,0.20656810280417437,,,,120.0,0.20656810280417437,,,,,,,,,,,,,
,,,,,,,,,,,,,,130,5,,,130,5,,,,,130,0.22139479023824182,,,,130.0,0.22139479023824182,,,,,,,,,,,,,
,,,,,,,,,,,,,,140,4,,,140,4,,,,,140,0.2361962167640297,,,,140.0,0.2361962167640297,,,,,,,,,,,,,
